Date,index_price
12/31/87,1.794844577190246
1/31/88,1.9714213866942223
2/29/88,1.978116156967142
3/31/88,2.1905360126776077
4/30/88,2.3074701368815522
5/31/88,2.37660755
6/30/88,2.4573396590769376
7/31/88,2.394879067790717
8/31/88,2.3307313226019377
9/30/88,2.481767493772497
10/31/88,2.465739531698188
11/30/88,2.4552037940300813
12/31/88,2.5204463944109468
1/31/89,2.4886776453946795
2/28/89,2.6790747581430203
3/31/89,2.946004043662754
4/30/89,3.5051160779032875
5/31/89,3.5523743356207063
6/30/89,3.121342410408469
7/31/89,3.3266546815932614
8/31/89,3.4038688953039857
9/30/89,3.832890595
10/31/89,3.8865743958935304
11/30/89,3.7054207327177187
12/31/89,4.157739514615433
1/31/90,4.294560516734645
2/28/90,4.462988731858178
3/31/90,3.8591671191998356
4/30/90,4.137565461567815
5/31/90,4.477419282258787
6/30/90,4.6321348848125865
7/31/90,5.040569716797998
8/31/90,4.397494853236506
9/30/90,3.835959778816765
10/31/90,3.7647403459938564
11/30/90,3.5682766585746117
12/31/90,3.719079499950137
1/31/91,4.019751863521046
2/28/91,4.614437717281491
3/31/91,4.804080995307413
4/30/91,4.854677663938405
5/31/91,5.235579580109719
6/30/91,5.048556775166495
7/31/91,5.310298959858147
8/31/91,5.422189570800189
9/30/91,5.214346568761558
10/31/91,5.427125393387462
11/30/91,5.346483026534305
12/31/91,5.947199558074108
1/31/92,6.635683989438515
2/29/92,6.930487211242013
3/31/92,7.164983655251919
4/30/92,7.115212615126432
5/31/92,7.089689925238788
6/30/92,6.386398026112562
7/31/92,6.455840562804051
8/31/92,6.154809230317704
9/30/92,6.175952499437005
10/31/92,6.506293644
11/30/92,6.4362049631295895
12/31/92,6.625399530011214
1/31/93,6.657437506
2/28/93,6.769076838415294
3/31/93,6.992929854
4/30/93,7.153747928198706
5/31/93,7.353065418495686
6/30/93,7.571103137732755
7/31/93,7.771084720523292
8/31/93,8.427261949498275
9/30/93,8.735490608739156
10/31/93,9.519263339
11/30/93,9.940513360973142
12/31/93,11.583639726053496
1/31/94,11.794390376307177
2/28/94,11.58457304523364
3/31/94,10.53629406992567
4/30/94,10.325543419671995
5/31/94,10.67893036847498
6/30/94,10.384575857815781
7/31/94,11.030271194459973
8/31/94,12.399270947266059
9/30/94,12.540184195021267
10/31/94,12.313979932957979
11/30/94,11.673722975382676
12/31/94,10.736132065150034
1/31/95,9.593892976226162
2/28/95,9.347837733139151
3/31/95,9.407229140198377
4/30/95,9.829250946
5/31/95,10.352160964751727
6/30/95,10.382781013238588
7/31/95,10.615841581586745
8/31/95,10.365783835092598
9/30/95,10.316587145231814
10/31/95,9.921667492912643
11/30/95,9.744731714
12/31/95,10.176930288680643
1/31/96,10.900324447071398
2/29/96,10.727014254697908
3/31/96,10.810564269766113
4/30/96,11.24279874084507
5/31/96,11.192596938021058
6/30/96,11.262488185856846
7/31/96,10.492769088928808
8/31/96,10.76134963145956
9/30/96,10.854573858798819
10/31/96,10.565083376943804
11/30/96,10.74210889759208
12/31/96,10.790695340296619
1/31/97,11.526725204510795
2/28/97,12.020361308575428
3/31/97,11.704612250556119
4/30/97,11.725288860085351
5/31/97,12.060870950682611
6/30/97,12.706332957531771
7/31/97,12.896012132449233
8/31/97,11.255003683969964
9/30/97,11.56685792925677
10/31/97,9.668881582661172
11/30/97,9.316086932568655
12/31/97,9.540586092283611
1/31/98,8.792315388052998
2/28/98,9.71001942
3/31/98,10.131395081757324
4/30/98,10.021030088705897
5/31/98,8.647740657360323
6/30/98,7.740626208048374
7/31/98,7.986053255533368
8/31/98,5.676967758532345
9/30/98,6.037085374499796
10/31/98,6.672801375294808
11/30/98,7.227767318562034
12/31/98,7.123020189
1/31/99,7.008096290759718
2/28/99,7.076264487801404
3/31/99,8.008847781663684
4/30/99,8.999709678947331
5/31/99,8.947354062630692
6/30/99,9.962805330621844
7/31/99,9.692160716827328
8/31/99,9.780341430904686
9/30/99,9.449354142425031
10/31/99,9.650556219528058
11/30/99,10.515868738637248
