,sp500,copper,oil,policy_rate,dgs10,yield_curve,market_vol,stock_bond_corr,sim_flag,anti_flag
1976-12-31,0.9819311692575664,0.2554516024774022,0.9172228096520566,-0.6626981613246108,-1.5890422297670443,-0.0860998478521348,-0.7294308266845352,0.654626657383586,0,0
1977-01-31,0.3526690587201986,0.3617445972460022,0.9033559473301233,-0.1552557733442334,-0.8661034979647318,-0.3050534138447018,-0.6479470954324908,0.415238187558124,0,0
1977-02-28,-0.0995997343024019,0.3579593812981406,0.4457547624274397,-0.1305758971449675,-0.7613861040694001,-0.2756669733377384,-1.0281334131979722,0.4066597755288982,0,0
1977-03-31,-0.1608265574665506,0.3101330840832882,0.4022523468066161,-0.2445348154962341,-0.6565645062635241,-0.0729280501213724,-0.5184140376211177,-0.0786535592952078,0,0
1977-04-30,-0.320905690031129,-0.1674235620180243,0.3590873252574784,-0.1988606176804359,-0.627492986699153,-0.1139054465225535,0.0094278542808088,0.3266677174001988,0,0
1977-05-31,-0.2880163281909715,-0.2812850282571758,0.3521495075461099,-0.1549478134186528,-1.0851623930612817,-0.4365013407292561,-0.2806842523788341,0.0472134440597971,0,0
1977-06-30,-0.2882879421730044,-0.4614884424411836,0.3452222325854901,-0.2485767263843322,-1.1722507636357271,-0.3751405969072106,-0.4066902053586275,0.063234425176141,0,0
1977-07-31,-0.3842043546986191,-0.7513911287107932,0.3383044862553109,-0.0400264235965098,-0.8799229286630987,-0.4660780481458995,0.1414646963237561,1.4793087044919515,0,0
1977-08-31,-0.4805083371948354,-0.7112152205745335,0.8184087661433629,0.1904855754742063,-0.7981732194374523,-0.7052337008452157,-0.2151263607825627,2.147517226074313,0,0
1977-09-30,-0.7232041435931845,-0.5036843697979577,-0.0806483704187781,0.412073579048562,-0.4852088893303236,-0.7972393047563091,-0.3998438952476449,1.260788033161167,0,0
1977-10-31,-0.6315027605436578,-0.169441306101552,-0.0844119406406115,0.7096658845303065,-0.0444871231895044,-0.9097946807907308,-0.5264346856528037,1.168924419884391,0,0
1977-11-30,-0.5387457062960153,-0.2049344675615528,-0.0881851970156572,0.7649971343480857,0.3928335225632946,-0.7242958819354505,0.0445412746749215,1.0065685169843126,0,0
1977-12-31,-0.7992633772982508,-0.0769899312925451,-0.0919683443489643,0.9757060409749452,0.9467321252049136,-0.6678591420066317,0.176875500548098,-0.2869330222142291,0,0
1978-01-31,-0.9684657437729136,-0.2659256037739126,-0.095761590103351,1.0236006506524755,0.4007725258214979,-1.0502562984496129,0.1354657434988776,-0.8032829656578733,0,0
1978-02-28,-0.8512986634488117,-0.3876931909051193,-0.099702556437734,0.9889444401223508,0.4687354603240118,-0.9690446684965742,0.4504866412443201,-0.5283746925617648,1,0
1978-03-31,-0.8257956235018548,-0.4691419830420665,-0.103655059835489,0.9289214431090268,0.6590553425222424,-0.7870636833778878,0.0184251924500201,-1.5730238826690868,0,0
1978-04-30,-0.4451454167736414,-0.2544188437928665,-0.1076193432288027,0.962636442226572,0.7400087079115778,-0.7835124561913189,0.3260975977411168,-1.9346028603923544,0,0
1978-05-31,-0.0983674830213362,-0.1167482004254181,-0.1115956530478603,0.789844003976938,1.065567236990113,-0.3787079851046184,0.3502088109210779,-0.2256024143513851,0,0
1978-06-30,-0.1116659644853859,0.0437356137896583,-0.115584239315326,0.9473093029040772,1.5343058390992923,-0.2989006834543381,0.5452106981100745,-0.0943520725800451,0,0
1978-07-31,-0.2009921762631004,0.1647381908152092,-0.1195853557434396,1.0064598516348011,1.1570806084480334,-0.5932657573792194,0.1038890215008678,-1.3688645138801334,0,0
1978-08-31,0.4288774394007097,0.4767155536871951,-0.6178576713411031,0.8637835323664392,1.1027593514223517,-0.4445018158408003,-0.0366594045979216,-2.724455850147437,0,0
1978-09-30,0.5320649999677755,0.4395293774295825,-0.6178576713411031,1.1191629571642383,1.137258834515482,-0.7498742555196352,0.4574801181814875,-1.705040612786231,0,0
1978-10-31,0.2900546930844031,0.5210758551926772,-0.6178576713411031,0.986611534679703,1.3539280413572323,-0.452200265733497,0.7417459305767744,-1.8416456203426836,0,0
1978-11-30,0.0435405207754858,0.5171275335588257,-0.6178576713411031,1.3847547570211107,1.2940662142198838,-1.0021664381223945,0.9526699393357264,-1.9324252282504375,0,0
1978-12-31,0.1778106516511787,0.4626166528222788,-0.6178576713411031,1.632338602037113,1.349478191988823,-1.294571595311322,0.8002076722335703,-1.2719404101813143,0,0
1979-01-31,0.6731132228494298,0.6778100595994597,-0.6178576713411031,1.552088853650372,0.8966348754403867,-1.4672404465047384,0.1220257629031553,-1.3411730794448988,0,0
1979-02-28,0.659832541532787,1.2409923544563366,-0.0978845035387869,1.5081587747420937,1.0372089218369769,-1.3318487162339712,0.0392581095100136,-1.6117673937606565,0,0
1979-03-31,0.7996072756910082,1.3386495975074144,-0.1015891446271993,1.6601572940858875,0.8211193003949426,-1.66060484604441,0.0011149194793548,-0.1820977717520004,0,0
1979-04-30,0.6656591038621886,1.351791309507504,-0.1048414413793252,1.6198819295759082,0.9950996920966316,-1.51209446376973,-0.6779504423133017,0.1036515705009546,0,0
1979-05-31,0.1788866016761257,1.0075963803979322,1.062506028267885,1.605839022742722,0.419612099440121,-1.8282076661187296,-0.1546975307302919,-0.6415365158717654,0,0
1979-06-30,0.2948463921220871,0.8667930110829124,1.5551411072900536,1.1160406967177097,-0.1235255155414965,-1.5026029282131572,-0.5340368096104683,-1.084213477926776,0,1
