,sp500,copper,oil,policy_rate,dgs10,yield_curve,market_vol,stock_bond_corr
1976-12-31,0.9819311692575663,0.2554516024774022,0.9172228096520566,-0.6626981613246108,-1.5890422297670443,-0.08609984785213481,-0.7294308266845352,0.654626657383586
1977-01-31,0.35266905872019866,0.3617445972460022,0.9033559473301231,-0.1552557733442334,-0.8661034979647318,-0.30505341384470186,-0.6479470954324908,0.415238187558124
1977-02-28,-0.09959973430240195,0.3579593812981406,0.4457547624274397,-0.13057589714496753,-0.7613861040694001,-0.2756669733377384,-1.0281334131979722,0.4066597755288982
1977-03-31,-0.1608265574665506,0.31013308408328827,0.40225234680661615,-0.24453481549623413,-0.6565645062635241,-0.07292805012137242,-0.5184140376211177,-0.07865355929520783
1977-04-30,-0.32090569003112906,-0.1674235620180243,0.3590873252574784,-0.1988606176804359,-0.627492986699153,-0.11390544652255354,0.009427854280808896,0.3266677174001988
1977-05-31,-0.2880163281909715,-0.28128502825717583,0.35214950754610996,-0.15494781341865282,-1.0851623930612817,-0.43650134072925617,-0.28068425237883415,0.04721344405979718
1977-06-30,-0.28828794217300446,-0.4614884424411836,0.3452222325854901,-0.24857672638433226,-1.1722507636357273,-0.3751405969072106,-0.40669020535862754,0.06323442517614108
1977-07-31,-0.3842043546986191,-0.7513911287107932,0.3383044862553109,-0.04002642359650987,-0.8799229286630987,-0.4660780481458995,0.1414646963237561,1.4793087044919517
1977-08-31,-0.4805083371948354,-0.7112152205745335,0.8184087661433629,0.1904855754742063,-0.7981732194374523,-0.7052337008452157,-0.21512636078256278,2.147517226074313
1977-09-30,-0.7232041435931845,-0.5036843697979577,-0.08064837041877815,0.41207357904856207,-0.48520888933032363,-0.7972393047563091,-0.39984389524764496,1.260788033161167
1977-10-31,-0.6315027605436578,-0.16944130610155209,-0.08441194064061157,0.7096658845303065,-0.04448712318950442,-0.9097946807907308,-0.5264346856528037,1.168924419884391
1977-11-30,-0.5387457062960153,-0.20493446756155287,-0.08818519701565723,0.7649971343480857,0.3928335225632946,-0.7242958819354505,0.044541274674921506,1.0065685169843126
1977-12-31,-0.7992633772982508,-0.07698993129254512,-0.09196834434896439,0.9757060409749451,0.9467321252049136,-0.6678591420066317,0.17687550054809806,-0.28693302221422917
1978-01-31,-0.9684657437729135,-0.2659256037739126,-0.09576159010335106,1.0236006506524755,0.4007725258214979,-1.0502562984496127,0.13546574349887766,-0.8032829656578733
1978-02-28,-0.8512986634488117,-0.38769319090511933,-0.09970255643773406,0.9889444401223507,0.4687354603240118,-0.9690446684965742,0.4504866412443201,-0.5283746925617648
1978-03-31,-0.8257956235018548,-0.4691419830420665,-0.10365505983548905,0.9289214431090268,0.6590553425222424,-0.7870636833778878,0.018425192450020132,-1.5730238826690868
1978-04-30,-0.44514541677364144,-0.25441884379286656,-0.10761934322880277,0.962636442226572,0.7400087079115778,-0.7835124561913189,0.3260975977411168,-1.9346028603923544
1978-05-31,-0.09836748302133629,-0.11674820042541814,-0.11159565304786036,0.789844003976938,1.065567236990113,-0.37870798510461845,0.3502088109210779,-0.2256024143513851
1978-06-30,-0.11166596448538597,0.043735613789658366,-0.11558423931532609,0.9473093029040771,1.5343058390992923,-0.2989006834543381,0.5452106981100745,-0.09435207258004519
1978-07-31,-0.20099217626310045,0.16473819081520927,-0.11958535574343966,1.0064598516348013,1.1570806084480334,-0.5932657573792194,0.10388902150086785,-1.3688645138801334
1978-08-31,0.4288774394007097,0.47671555368719515,-0.6178576713411031,0.8637835323664392,1.1027593514223515,-0.4445018158408003,-0.03665940459792168,-2.724455850147437
1978-09-30,0.5320649999677755,0.4395293774295825,-0.6178576713411031,1.1191629571642383,1.137258834515482,-0.7498742555196352,0.45748011818148754,-1.705040612786231
1978-10-31,0.2900546930844031,0.5210758551926772,-0.6178576713411031,0.986611534679703,1.3539280413572323,-0.45220026573349703,0.7417459305767744,-1.8416456203426836
1978-11-30,0.04354052077548588,0.5171275335588257,-0.6178576713411031,1.3847547570211107,1.2940662142198838,-1.0021664381223945,0.9526699393357265,-1.9324252282504377
1978-12-31,0.17781065165117874,0.4626166528222788,-0.6178576713411031,1.6323386020371127,1.349478191988823,-1.294571595311322,0.8002076722335703,-1.2719404101813145
1979-01-31,0.6731132228494298,0.6778100595994597,-0.6178576713411031,1.5520888536503719,0.8966348754403867,-1.4672404465047384,0.12202576290315534,-1.3411730794448988
1979-02-28,0.659832541532787,1.2409923544563366,-0.09788450353878692,1.5081587747420937,1.0372089218369767,-1.3318487162339712,0.03925810951001363,-1.6117673937606565
1979-03-31,0.7996072756910082,1.3386495975074144,-0.10158914462719931,1.6601572940858877,0.8211193003949426,-1.66060484604441,0.0011149194793548798,-0.18209777175200043
1979-04-30,0.6656591038621886,1.351791309507504,-0.10484144137932529,1.6198819295759082,0.9950996920966315,-1.51209446376973,-0.6779504423133017,0.10365157050095469
1979-05-31,0.17888660167612572,1.0075963803979322,1.0625060282678853,1.605839022742722,0.419612099440121,-1.8282076661187294,-0.15469753073029194,-0.6415365158717654
1979-06-30,0.29484639212208713,0.8667930110829124,1.5551411072900536,1.1160406967177097,-0.12352551554149656,-1.5026029282131572,-0.5340368096104683,-1.084213477926776
1979-07-31,0.3902379125297628,0.746947305318534,2.8085633762024695,1.056522179279039,0.20621437925290267,-1.2344775862075545,-0.06147653263154237,-0.9403177125995709
1979-08-31,0.24674146341418873,0.8745725488902157,3.0,1.1656394507272825,0.7117420538629899,-1.0904966671654173,-0.1891991718264335,0.2710707520104165
