date,copper_price
8/31/1983,1639.8
9/30/1983,1560.7
10/31/1983,1435.2
11/30/1983,1389.1
12/31/1983,1415.2
1/31/1984,1375.7
2/29/1984,1429.8
3/31/1984,1501.2
4/30/1984,1532.6
5/31/1984,1420.9
6/30/1984,1366.5
7/31/1984,1330.8
8/31/1984,1337.5
9/30/1984,1293.6
10/31/1984,1273
11/30/1984,1345.1
12/31/1984,1321.1
1/31/1985,1359.1
2/28/1985,1388.5
3/31/1985,1389.9
4/30/1985,1501.8
5/31/1985,1530.6
6/30/1985,1432.4
7/31/1985,1474.6
8/31/1985,1420.2
9/30/1985,1366.4
10/31/1985,1384.7
11/30/1985,1369.5
12/31/1985,1390.9
1/31/1986,1418.3
2/28/1986,1405.5
3/31/1986,1445.1
4/30/1986,1434.6
5/31/1986,1418.74
6/30/1986,1413.14
7/31/1986,1344.3
8/31/1986,1303.1
9/30/1986,1347
10/31/1986,1316.8
11/30/1986,1303.2
12/31/1986,1335.6
1/31/1987,1346
2/28/1987,1379.83
3/31/1987,1465.72
4/30/1987,1484.24
5/31/1987,1520.44
6/30/1987,1571.87
7/31/1987,1694.62
8/31/1987,1756.31
9/30/1987,1811.01
10/31/1987,1967.2
11/30/1987,2523.9
12/31/1987,2868.9
1/31/1988,2663.2
2/29/1988,2330.2
3/31/1988,2359.3
4/30/1988,2286.3
5/31/1988,2447.99
6/30/1988,2540.27
7/31/1988,2213.51
8/31/1988,2200.68
9/30/1988,2435.53
10/31/1988,2939.51
11/30/1988,3304.66
12/31/1988,3498.91
1/31/1989,3394.06
2/28/1989,3096.92
3/31/1989,3264.14
4/30/1989,3117.91
5/31/1989,2738.98
6/30/1989,2546.01
7/31/1989,2505
8/31/1989,2762.2
9/30/1989,2884.4
10/31/1989,2861.4
11/30/1989,2591.3
12/31/1989,2418.6
1/31/1990,2366.64
2/28/1990,2360.16
3/31/1990,2625.61
4/30/1990,2686.15
5/31/1990,2741.95
6/30/1990,2584.56
7/31/1990,2769.49
8/31/1990,2957.03
9/30/1990,3031.37
10/31/1990,2743.56
11/30/1990,2585.89
12/31/1990,2485.38
1/31/1991,2448.52
2/28/1991,2449.38
3/31/1991,2409.63
4/30/1991,2472.04
5/31/1991,2305.88
6/30/1991,2219.28
7/31/1991,2236.28
8/31/1991,2233.19
9/30/1991,2324.57
10/31/1991,2363.64
11/30/1991,2379.84
12/31/1991,2223.14
1/31/1992,2139.23
2/29/1992,2205.97
3/31/1992,2227.33
4/30/1992,2215.33
5/31/1992,2216.52
6/30/1992,2299.2
7/31/1992,2520.32
8/31/1992,2521.64
9/30/1992,2414.06
10/31/1992,2249.15
11/30/1992,2158.32
12/31/1992,2206.82
1/31/1993,2256.85
2/28/1993,2212.6
3/31/1993,2152.59
4/30/1993,1949.88
5/31/1993,1794.5
6/30/1993,1853.42
7/31/1993,1927.16
8/31/1993,1947.45
9/30/1993,1861.86
10/31/1993,1646.4
11/30/1993,1630.02
12/31/1993,1724.19
1/31/1994,1805.35
2/28/1994,1866.4
3/31/1994,1914.87
4/30/1994,1881.82
5/31/1994,2150.6
6/30/1994,2364.2
7/31/1994,2458.19
8/31/1994,2406.23
9/30/1994,2505.93
10/31/1994,2547.67
11/30/1994,2802.45
12/31/1994,2985.3
1/31/1995,3008.93
2/28/1995,2877.65
3/31/1995,2924.04
4/30/1995,2903.5
5/31/1995,2773.31
6/30/1995,2994.64
7/31/1995,3075.67
8/31/1995,3036.84
9/30/1995,2915.52
10/31/1995,2813.55
11/30/1995,2977.36
12/31/1995,2926.26
1/31/1996,2616.41
2/29/1996,2537.71
3/31/1996,2561.02
4/30/1996,2595.78
5/31/1996,2658.26
6/30/1996,2173.4
7/31/1996,1985.57
8/31/1996,2008.57
9/30/1996,1941.45
10/31/1996,1961.17
11/30/1996,2230.86
12/31/1996,2268.08
1/31/1997,2434.93
2/28/1997,2405.85
3/31/1997,2421.29
4/30/1997,2391.18
5/31/1997,2514.33
6/30/1997,2612.62
7/31/1997,2450.46
8/31/1997,2251.2
9/30/1997,2107.3
10/31/1997,2052.26
11/30/1997,1917.45
12/31/1997,1762.33
1/31/1998,1688.45
2/28/1998,1664.8
3/31/1998,1747.98
4/30/1998,1800.9
5/31/1998,1732.53
6/30/1998,1660.52
7/31/1998,1651.04
8/31/1998,1620.93
9/30/1998,1647.64
10/31/1998,1586.39
11/30/1998,1573.95
12/31/1998,1473.57
1/31/1999,1431.18
2/28/1999,1410.78
3/31/1999,1378.35
4/30/1999,1466
5/31/1999,1511.16
6/30/1999,1422.48
7/31/1999,1640
8/31/1999,1647.62
9/30/1999,1750.34
10/31/1999,1724.12
11/30/1999,1727.55
12/31/1999,1764.75
1/31/2000,1843.98
2/29/2000,1800.83
3/31/2000,1739.39
4/30/2000,1678.75
5/31/2000,1785.62
6/30/2000,1753.18
7/31/2000,1799.36
8/31/2000,1855.86
9/30/2000,1960.41
10/31/2000,1898.59
11/30/2000,1795.11
12/31/2000,1850.55
1/31/2001,1787.5
2/28/2001,1765.65
3/31/2001,1738.77
4/30/2001,1664.16
5/31/2001,1682.21
6/30/2001,1608.45
7/31/2001,1525.21
8/31/2001,1464.43
9/30/2001,1426.33
10/31/2001,1377.28
11/30/2001,1427.73
12/31/2001,1471.74
1/31/2002,1503.96
2/28/2002,1561.9
3/31/2002,1604.88
4/30/2002,1590.33
5/31/2002,1595.68
6/30/2002,1647.53
7/31/2002,1589.46
8/31/2002,1479.55
9/30/2002,1478.71
10/31/2002,1483.76
11/30/2002,1582.29
12/31/2002,1595.68
1/31/2003,1647.66
2/28/2003,1683.8
3/31/2003,1658.976
4/30/2003,1587.475
5/31/2003,1648.275
6/30/2003,1686.5
7/31/2003,1710
8/31/2003,1760.275
9/30/2003,1789.523
10/31/2003,1920.543
11/30/2003,2055.425
12/31/2003,2201.286
1/31/2004,2423.571
2/29/2004,2759.525
3/31/2004,3008.717
4/30/2004,2948.725
5/31/2004,2733.5
6/30/2004,2686.705
7/31/2004,2808.432
8/31/2004,2846.095
9/30/2004,2894.864
10/31/2004,3012.238
11/30/2004,3122.795
12/31/2004,3145.452
1/31/2005,3170
2/28/2005,3253.7
3/31/2005,3379.49
4/30/2005,3394.476
5/31/2005,3249.1
6/30/2005,3524.068
7/31/2005,3614.214
8/31/2005,3797.75
9/30/2005,3857.841
10/31/2005,4059.762
11/30/2005,4269.341
12/31/2005,4576.775
1/31/2006,4734.333
2/28/2006,4982.4
3/31/2006,5102.848
4/30/2006,6387.778
5/31/2006,8045.857
6/30/2006,7197.614
7/31/2006,7712.095
8/31/2006,7695.659
9/30/2006,7602.357
10/31/2006,7500.386
11/30/2006,7029.182
12/31/2006,6675.105
1/31/2007,5669.659
2/28/2007,5676.45
3/31/2007,6452.477
4/30/2007,7766.474
5/31/2007,7681.42
6/30/2007,7474.38
7/31/2007,7972.57
8/31/2007,7513.5
9/30/2007,7648.975
10/31/2007,8008.435
11/30/2007,6966.705
12/31/2007,6587.667
1/31/2008,7061.023
2/29/2008,7887.69
3/31/2008,8439.289
4/30/2008,8684.932
5/31/2008,8382.75
6/30/2008,8260.595
7/31/2008,8414.043
8/31/2008,7634.7
9/30/2008,6990.864
10/31/2008,4925.696
11/30/2008,3717
12/31/2008,3071.976
1/31/2009,3220.69
2/28/2009,3314.725
3/31/2009,3749.75
4/30/2009,4406.55
5/31/2009,4568.632
6/30/2009,5013.955
7/31/2009,5215.543
8/31/2009,6165.3
9/30/2009,6196.432
10/31/2009,6287.977
11/30/2009,6675.595
12/31/2009,6981.714
1/31/2010,7386.25
2/28/2010,6848.175
3/31/2010,7462.826
4/30/2010,7745.075
5/31/2010,6837.684
6/30/2010,6499.295
7/31/2010,6735.25
8/31/2010,7283.952
9/30/2010,7709.295
10/31/2010,8292.405
11/30/2010,8469.886
12/31/2010,9147.262
